id_avaliacao,id_colaborador,ciclo,competencia,nota,avaliador
1,1112,2024,Comunicação,4.1,Gestor RH
2,1000,2023,Entrega de resultados,4.1,Gestor TI
3,1009,2024,Comunicação,5.0,Gestor TI
4,1109,2024,Liderança,4.5,Gerente Operações
5,1112,2023,Entrega de resultados,3.2,Gestor RH
6,1049,2024,Organização,4.6,Gerente Operações
7,1011,2024,Trabalho em equipe,3.3,Gestor RH
8,1088,2024,Comunicação,3.9,Gestor Financeiro
9,1111,2024,Liderança,3.4,Gestor RH
10,1077,2023,Organização,4.4,Gestor RH
11,1120,2024,Trabalho em equipe,4.8,Gestor Financeiro
12,1022,2024,Organização,3.6,Gestor RH
13,1133,2023,Trabalho em equipe,3.2,Gerente Operações
14,1024,2024,Entrega de resultados,3.6,Gestor TI
15,1017,2024,Organização,4.3,Gestor TI
16,1140,2024,Organização,3.7,Gerente Operações
17,1042,2024,Organização,3.6,Gestor Financeiro
18,1077,2023,Entrega de resultados,3.4,Gestor RH
19,1027,2024,Liderança,4.0,Gerente Operações
20,1145,2023,Trabalho em equipe,3.6,Gestor TI
21,1058,2024,Organização,4.5,Gestor TI
22,1062,2024,Entrega de resultados,3.2,Gerente Operações
23,1091,2024,Liderança,4.3,Gestor TI
24,1055,2023,Trabalho em equipe,3.5,Gerente Operações
25,1110,2024,Entrega de resultados,4.0,Gestor TI
26,1136,2024,Trabalho em equipe,3.6,Gerente Operações
27,1067,2023,Organização,4.4,Gestor RH
28,1045,2023,Liderança,4.9,Gestor RH
29,1066,2023,Entrega de resultados,4.8,Gestor RH
30,1135,2023,Liderança,4.2,Gestor RH
31,1005,2024,Organização,3.9,Gestor TI
32,1023,2024,Liderança,4.6,Gestor Financeiro
33,1093,2024,Liderança,4.4,Gerente Operações
34,1012,2024,Comunicação,3.4,Gestor Financeiro
35,1024,2023,Liderança,4.6,Gestor TI
36,1147,2024,Trabalho em equipe,3.9,Gestor TI
37,1117,2024,Entrega de resultados,3.4,Gestor Financeiro
38,1081,2024,Comunicação,3.6,Gestor Financeiro
39,1110,2024,Entrega de resultados,3.5,Gestor TI
40,1081,2023,Entrega de resultados,4.0,Gestor TI
41,1065,2024,Organização,3.5,Gerente Operações
42,1044,2024,Organização,3.2,Gestor RH
43,1113,2024,Comunicação,3.2,Gestor RH
44,1062,2023,Organização,4.2,Gerente Operações
45,1075,2023,Organização,4.5,Gestor Financeiro
46,1113,2024,Organização,3.6,Gestor TI
47,1110,2024,Entrega de resultados,3.1,Gestor Financeiro
48,1146,2024,Comunicação,3.3,Gestor RH
49,1034,2023,Entrega de resultados,4.8,Gestor RH
50,1052,2024,Trabalho em equipe,4.0,Gestor Financeiro
51,1025,2024,Entrega de resultados,3.9,Gestor RH
52,1013,2024,Trabalho em equipe,3.1,Gestor TI
53,1117,2023,Liderança,4.5,Gerente Operações
54,1044,2024,Liderança,4.1,Gestor Financeiro
55,1050,2024,Trabalho em equipe,3.4,Gestor TI
56,1118,2023,Trabalho em equipe,3.2,Gestor TI
57,1018,2023,Entrega de resultados,3.8,Gestor RH
58,1081,2024,Trabalho em equipe,4.7,Gestor TI
59,1075,2023,Comunicação,4.7,Gestor Financeiro
60,1091,2024,Liderança,4.2,Gestor TI
61,1032,2023,Liderança,4.5,Gerente Operações
62,1146,2023,Trabalho em equipe,3.2,Gestor TI
63,1027,2024,Organização,4.2,Gestor TI
64,1122,2024,Organização,4.3,Gerente Operações
