id_colaborador,nome,sexo,area,cargo,data_admissao
1000,Colaborador 1000,M,Financeiro,Analista,2017-06-15
1001,Colaborador 1001,F,Financeiro,Coordenador,2024-02-26
1002,Colaborador 1002,M,RH,Coordenador,2018-04-27
1003,Colaborador 1003,M,Financeiro,Coordenador,2016-12-04
1004,Colaborador 1004,M,Operações,Estagiário,2019-01-10
1005,Colaborador 1005,F,TI,Analista,2016-08-03
1006,Colaborador 1006,M,TI,Estagiário,2022-10-08
1007,Colaborador 1007,M,RH,Coordenador,2022-12-18
1008,Colaborador 1008,M,Marketing,Analista,2021-04-13
1009,Colaborador 1009,F,RH,Estagiário,2023-08-14
1010,Colaborador 1010,M,Marketing,Estagiário,2015-06-03
1011,Colaborador 1011,M,TI,Coordenador,2019-08-07
1012,Colaborador 1012,M,RH,Analista,2024-08-07
1013,Colaborador 1013,M,Operações,Coordenador,2017-09-23
1014,Colaborador 1014,F,Financeiro,Analista,2023-08-24
1015,Colaborador 1015,M,Marketing,Supervisor,2022-07-07
1016,Colaborador 1016,F,Financeiro,Assistente,2024-03-10
1017,Colaborador 1017,F,Financeiro,Assistente,2018-05-28
1018,Colaborador 1018,F,RH,Assistente,2017-12-28
1019,Colaborador 1019,M,Financeiro,Coordenador,2023-07-16
1020,Colaborador 1020,F,Operações,Supervisor,2017-10-05
1021,Colaborador 1021,M,Financeiro,Analista,2020-11-11
1022,Colaborador 1022,F,RH,Estagiário,2019-11-09
1023,Colaborador 1023,F,Operações,Analista,2017-08-15
1024,Colaborador 1024,F,TI,Estagiário,2023-05-18
1025,Colaborador 1025,F,Financeiro,Analista,2016-03-28
1026,Colaborador 1026,F,RH,Supervisor,2018-05-12
1027,Colaborador 1027,F,TI,Estagiário,2023-02-07
1028,Colaborador 1028,F,TI,Coordenador,2021-03-15
1029,Colaborador 1029,F,Marketing,Analista,2021-11-26
1030,Colaborador 1030,M,Operações,Analista,2021-10-15
1031,Colaborador 1031,M,Financeiro,Estagiário,2021-07-16
1032,Colaborador 1032,F,RH,Coordenador,2016-07-04
1033,Colaborador 1033,F,Marketing,Coordenador,2019-06-24
1034,Colaborador 1034,F,Operações,Supervisor,2018-08-05
1035,Colaborador 1035,M,Marketing,Coordenador,2024-02-08
1036,Colaborador 1036,F,Operações,Coordenador,2019-10-24
1037,Colaborador 1037,M,Operações,Coordenador,2015-12-23
1038,Colaborador 1038,M,Financeiro,Assistente,2020-09-01
1039,Colaborador 1039,M,Operações,Supervisor,2019-11-21
1040,Colaborador 1040,M,Marketing,Analista,2022-01-13
1041,Colaborador 1041,M,Operações,Estagiário,2019-11-17
1042,Colaborador 1042,F,Financeiro,Analista,2023-09-07
1043,Colaborador 1043,F,Financeiro,Supervisor,2022-10-20
1044,Colaborador 1044,F,Marketing,Estagiário,2023-11-26
1045,Colaborador 1045,F,TI,Supervisor,2024-01-08
1046,Colaborador 1046,F,TI,Coordenador,2022-09-10
1047,Colaborador 1047,M,Operações,Estagiário,2021-10-25
1048,Colaborador 1048,F,RH,Coordenador,2019-06-20
1049,Colaborador 1049,F,Operações,Analista,2022-09-17
1050,Colaborador 1050,M,Marketing,Analista,2017-10-12
1051,Colaborador 1051,F,Marketing,Estagiário,2018-09-10
1052,Colaborador 1052,M,Marketing,Estagiário,2016-05-30
1053,Colaborador 1053,F,Marketing,Supervisor,2023-06-15
1054,Colaborador 1054,M,Marketing,Supervisor,2022-10-10
1055,Colaborador 1055,F,Financeiro,Coordenador,2015-12-02
1056,Colaborador 1056,F,TI,Estagiário,2019-11-18
1057,Colaborador 1057,M,Marketing,Analista,2021-04-24
1058,Colaborador 1058,M,RH,Supervisor,2016-05-11
1059,Colaborador 1059,M,RH,Supervisor,2017-06-14
1060,Colaborador 1060,M,RH,Analista,2021-01-16
1061,Colaborador 1061,M,RH,Supervisor,2024-09-16
1062,Colaborador 1062,M,Financeiro,Coordenador,2017-05-01
1063,Colaborador 1063,M,RH,Estagiário,2019-08-15
1064,Colaborador 1064,M,Marketing,Analista,2020-04-15
1065,Colaborador 1065,F,Operações,Estagiário,2022-06-30
1066,Colaborador 1066,F,RH,Supervisor,2021-08-24
1067,Colaborador 1067,M,Financeiro,Supervisor,2019-04-18
1068,Colaborador 1068,F,Financeiro,Analista,2017-08-14
1069,Colaborador 1069,F,RH,Coordenador,2022-07-01
1070,Colaborador 1070,F,Operações,Assistente,2024-07-30
1071,Colaborador 1071,F,RH,Analista,2019-06-25
1072,Colaborador 1072,M,Financeiro,Assistente,2018-07-15
1073,Colaborador 1073,F,TI,Assistente,2024-12-27
1074,Colaborador 1074,M,Marketing,Coordenador,2018-12-11
1075,Colaborador 1075,F,Financeiro,Assistente,2018-04-06
1076,Colaborador 1076,F,RH,Assistente,2017-12-02
1077,Colaborador 1077,F,Marketing,Coordenador,2024-12-06
1078,Colaborador 1078,M,RH,Assistente,2015-10-12
1079,Colaborador 1079,F,RH,Assistente,2021-09-10
1080,Colaborador 1080,M,TI,Assistente,2015-01-12
1081,Colaborador 1081,F,Marketing,Analista,2019-06-19
1082,Colaborador 1082,M,Marketing,Analista,2024-03-27
1083,Colaborador 1083,F,TI,Analista,2024-02-07
1084,Colaborador 1084,M,Financeiro,Coordenador,2021-12-21
1085,Colaborador 1085,M,RH,Supervisor,2017-01-23
1086,Colaborador 1086,F,Operações,Assistente,2020-09-13
1087,Colaborador 1087,M,RH,Assistente,2022-08-06
1088,Colaborador 1088,F,RH,Coordenador,2022-12-06
1089,Colaborador 1089,F,Financeiro,Assistente,2015-03-31
